date,average_price,area_name
1995-01-01,50460.2266,Barking and Dagenham
1995-02-01,51085.77983,Barking and Dagenham
1995-03-01,51268.96956,Barking and Dagenham
1995-04-01,53133.50526,Barking and Dagenham
1995-05-01,53042.24852,Barking and Dagenham
1995-06-01,53700.34831,Barking and Dagenham
1995-07-01,52113.12157,Barking and Dagenham
1995-08-01,52232.19868,Barking and Dagenham
1995-09-01,51471.61353,Barking and Dagenham
1995-10-01,51513.7576,Barking and Dagenham
1995-11-01,50848.67787,Barking and Dagenham
1995-12-01,50945.18535,Barking and Dagenham
1996-01-01,50828.11236,Barking and Dagenham
1996-02-01,51440.74603,Barking and Dagenham
1996-03-01,51907.0727,Barking and Dagenham
1996-04-01,51724.02571,Barking and Dagenham
1996-05-01,51735.7298,Barking and Dagenham
1996-06-01,50761.40069,Barking and Dagenham
1996-07-01,50621.10709,Barking and Dagenham
1996-08-01,51104.69052,Barking and Dagenham
1996-09-01,51892.72348,Barking and Dagenham
1996-10-01,52533.15395,Barking and Dagenham
1996-11-01,52216.03501,Barking and Dagenham
1996-12-01,53853.51494,Barking and Dagenham
1997-01-01,54459.03334,Barking and Dagenham
1997-02-01,55451.49402,Barking and Dagenham
1997-03-01,55004.76789,Barking and Dagenham
1997-04-01,55279.86088,Barking and Dagenham
1997-05-01,54936.9351,Barking and Dagenham
1997-06-01,55286.72367,Barking and Dagenham
1997-07-01,55658.87201,Barking and Dagenham
1997-08-01,56506.703,Barking and Dagenham
1997-09-01,56306.31587,Barking and Dagenham
1997-10-01,57200.18147,Barking and Dagenham
1997-11-01,57575.30439,Barking and Dagenham
1997-12-01,58024.95607,Barking and Dagenham
1998-01-01,57558.99414,Barking and Dagenham
1998-02-01,57360.29869,Barking and Dagenham
1998-03-01,57908.48029,Barking and Dagenham
1998-04-01,59196.02788,Barking and Dagenham
1998-05-01,60355.84269,Barking and Dagenham
1998-06-01,60582.93705,Barking and Dagenham
1998-07-01,60412.34826,Barking and Dagenham
1998-08-01,60837.40862,Barking and Dagenham
1998-09-01,61485.08509,Barking and Dagenham
1998-10-01,62005.10759,Barking and Dagenham
1998-11-01,62239.78472,Barking and Dagenham
1998-12-01,63487.53798,Barking and Dagenham
1999-01-01,64531.66938,Barking and Dagenham
1999-02-01,64165.8862,Barking and Dagenham
1999-03-01,63528.08617,Barking and Dagenham
1999-04-01,63579.89636,Barking and Dagenham
1999-05-01,64508.34516,Barking and Dagenham
1999-06-01,64704.17565,Barking and Dagenham
1999-07-01,64920.77432,Barking and Dagenham
1999-08-01,65385.34756,Barking and Dagenham
1999-09-01,66003.11935,Barking and Dagenham
1999-10-01,66367.31665,Barking and Dagenham
1999-11-01,67344.39063,Barking and Dagenham
1999-12-01,68812.20586,Barking and Dagenham
2000-01-01,71079.19356,Barking and Dagenham
2000-02-01,72633.03953,Barking and Dagenham
2000-03-01,73623.57292,Barking and Dagenham
2000-04-01,73800.30431,Barking and Dagenham
2000-05-01,75125.95318,Barking and Dagenham
2000-06-01,76939.36185,Barking and Dagenham
2000-07-01,78868.70986,Barking and Dagenham
2000-08-01,80149.97701,Barking and Dagenham
2000-09-01,81760.76299,Barking and Dagenham
2000-10-01,82501.48499,Barking and Dagenham
2000-11-01,82385.52063,Barking and Dagenham
2000-12-01,81726.27865,Barking and Dagenham
2001-01-01,82343.40819,Barking and Dagenham
2001-02-01,83265.8927,Barking and Dagenham
2001-03-01,84057.86817,Barking and Dagenham
2001-04-01,83965.32209,Barking and Dagenham
2001-05-01,85124.00556,Barking and Dagenham
2001-06-01,86732.49661,Barking and Dagenham
2001-07-01,89194.04942,Barking and Dagenham
2001-08-01,90461.69776,Barking and Dagenham
2001-09-01,92609.96737,Barking and Dagenham
2001-10-01,93584.49761,Barking and Dagenham
2001-11-01,95917.53609,Barking and Dagenham
2001-12-01,96711.95711,Barking and Dagenham
2002-01-01,98713.31808,Barking and Dagenham
2002-02-01,100228.6947,Barking and Dagenham
2002-03-01,101633.0338,Barking and Dagenham
2002-04-01,103884.7093,Barking and Dagenham
2002-05-01,105760.5574,Barking and Dagenham
2002-06-01,108614.7379,Barking and Dagenham
2002-07-01,111983.2592,Barking and Dagenham
2002-08-01,115548.3583,Barking and Dagenham
2002-09-01,118330.7691,Barking and Dagenham
2002-10-01,122940.4789,Barking and Dagenham
2002-11-01,127315.7005,Barking and Dagenham
2002-12-01,131709.3326,Barking and Dagenham
2003-01-01,134749.7876,Barking and Dagenham
2003-02-01,138195.2873,Barking and Dagenham
2003-03-01,142206.6499,Barking and Dagenham
2003-04-01,142191.5142,Barking and Dagenham
2003-05-01,142797.0958,Barking and Dagenham
2003-06-01,141956.9902,Barking and Dagenham
2003-07-01,142222.9428,Barking and Dagenham
2003-08-01,142792.1537,Barking and Dagenham
2003-09-01,141706.8941,Barking and Dagenham
2003-10-01,145135.714,Barking and Dagenham
2003-11-01,146331.1669,Barking and Dagenham
2003-12-01,149700.9371,Barking and Dagenham
2004-01-01,150115.1187,Barking and Dagenham
2004-02-01,152687.9868,Barking and Dagenham
2004-03-01,153591.0097,Barking and Dagenham
2004-04-01,154013.6475,Barking and Dagenham
2004-05-01,154360.7062,Barking and Dagenham
2004-06-01,156950.5431,Barking and Dagenham
2004-07-01,159226.8322,Barking and Dagenham
2004-08-01,160620.2438,Barking and Dagenham
2004-09-01,162821.4056,Barking and Dagenham
2004-10-01,164421.8541,Barking and Dagenham
2004-11-01,165172.1816,Barking and Dagenham
2004-12-01,164130.2605,Barking and Dagenham
2005-01-01,164484.085,Barking and Dagenham
2005-02-01,162323.7441,Barking and Dagenham
2005-03-01,161926.6251,Barking and Dagenham
2005-04-01,162770.5255,Barking and Dagenham
2005-05-01,163999.6017,Barking and Dagenham
2005-06-01,165770.32,Barking and Dagenham
2005-07-01,162427.5637,Barking and Dagenham
2005-08-01,164000.407,Barking and Dagenham
2005-09-01,163111.2343,Barking and Dagenham
2005-10-01,164178.7001,Barking and Dagenham
2005-11-01,162695.0587,Barking and Dagenham
2005-12-01,162641.519,Barking and Dagenham
2006-01-01,162339.9562,Barking and Dagenham
2006-02-01,163023.9489,Barking and Dagenham
2006-03-01,162004.3844,Barking and Dagenham
2006-04-01,164203.9629,Barking and Dagenham
2006-05-01,166048.3794,Barking and Dagenham
2006-06-01,169013.0192,Barking and Dagenham
2006-07-01,170203.9708,Barking and Dagenham
2006-08-01,171177.1072,Barking and Dagenham
2006-09-01,170250.5241,Barking and Dagenham
2006-10-01,170091.2864,Barking and Dagenham
2006-11-01,171598.1613,Barking and Dagenham
2006-12-01,174285.4099,Barking and Dagenham
2007-01-01,176577.4365,Barking and Dagenham
2007-02-01,177050.7197,Barking and Dagenham
2007-03-01,179011.267,Barking and Dagenham
2007-04-01,179846.6376,Barking and Dagenham
2007-05-01,181828.37,Barking and Dagenham
2007-06-01,183476.4438,Barking and Dagenham
2007-07-01,185928.699,Barking and Dagenham
2007-08-01,187337.0586,Barking and Dagenham
2007-09-01,190223.2283,Barking and Dagenham
2007-10-01,191576.4791,Barking and Dagenham
2007-11-01,193603.0318,Barking and Dagenham
2007-12-01,192458.3172,Barking and Dagenham
2008-01-01,194235.4516,Barking and Dagenham
2008-02-01,193698.8139,Barking and Dagenham
2008-03-01,196257.3656,Barking and Dagenham
2008-04-01,192932.1292,Barking and Dagenham
2008-05-01,193573.4985,Barking and Dagenham
2008-06-01,190726.5908,Barking and Dagenham
2008-07-01,191066.9391,Barking and Dagenham
2008-08-01,189099.8683,Barking and Dagenham
2008-09-01,184658.623,Barking and Dagenham
2008-10-01,177920.9451,Barking and Dagenham
2008-11-01,174390.2634,Barking and Dagenham
2008-12-01,169721.9009,Barking and Dagenham
2009-01-01,166798.1275,Barking and Dagenham
2009-02-01,161878.8445,Barking and Dagenham
2009-03-01,156810.9823,Barking and Dagenham
2009-04-01,152209.1849,Barking and Dagenham
2009-05-01,148432.876,Barking and Dagenham
2009-06-01,150193.6379,Barking and Dagenham
2009-07-01,154105.1492,Barking and Dagenham
2009-08-01,156272.1959,Barking and Dagenham
2009-09-01,155826.793,Barking and Dagenham
2009-10-01,156674.1762,Barking and Dagenham
2009-11-01,157272.1998,Barking and Dagenham
2009-12-01,160888.5891,Barking and Dagenham
2010-01-01,162905.2109,Barking and Dagenham
2010-02-01,163022.5868,Barking and Dagenham
2010-03-01,162831.3359,Barking and Dagenham
2010-04-01,162755.9259,Barking and Dagenham
2010-05-01,164902.6725,Barking and Dagenham
2010-06-01,167147.5106,Barking and Dagenham
2010-07-01,168660.5929,Barking and Dagenham
2010-08-01,170216.2782,Barking and Dagenham
2010-09-01,170252.9043,Barking and Dagenham
2010-10-01,170298.2577,Barking and Dagenham
2010-11-01,169249.8164,Barking and Dagenham
2010-12-01,166485.3712,Barking and Dagenham
2011-01-01,163821.2893,Barking and Dagenham
2011-02-01,162484.0392,Barking and Dagenham
2011-03-01,161659.7392,Barking and Dagenham
2011-04-01,162401.3434,Barking and Dagenham
2011-05-01,162703.4802,Barking and Dagenham
2011-06-01,162303.742,Barking and Dagenham
2011-07-01,160895.3769,Barking and Dagenham
2011-08-01,163476.9496,Barking and Dagenham
2011-09-01,166864.7384,Barking and Dagenham
2011-10-01,167492.9314,Barking and Dagenham
2011-11-01,164846.795,Barking and Dagenham
2011-12-01,162631.3061,Barking and Dagenham
2012-01-01,163899.0205,Barking and Dagenham
2012-02-01,163607.2164,Barking and Dagenham
2012-03-01,164437.516,Barking and Dagenham
2012-04-01,164731.0378,Barking and Dagenham
2012-05-01,166502.977,Barking and Dagenham
2012-06-01,168049.0909,Barking and Dagenham
2012-07-01,168007.1536,Barking and Dagenham
2012-08-01,166179.7039,Barking and Dagenham
2012-09-01,165304.4801,Barking and Dagenham
2012-10-01,165327.7005,Barking and Dagenham
2012-11-01,166508.0177,Barking and Dagenham
2012-12-01,167813.0248,Barking and Dagenham
2013-01-01,167918.7606,Barking and Dagenham
2013-02-01,169460.7477,Barking and Dagenham
2013-03-01,169413.8449,Barking and Dagenham
2013-04-01,169967.7089,Barking and Dagenham
2013-05-01,170475.2498,Barking and Dagenham
2013-06-01,172651.7573,Barking and Dagenham
2013-07-01,174604.2766,Barking and Dagenham
2013-08-01,173720.4531,Barking and Dagenham
2013-09-01,174761.46,Barking and Dagenham
2013-10-01,176820.5648,Barking and Dagenham
2013-11-01,181909.7302,Barking and Dagenham
2013-12-01,183098.9453,Barking and Dagenham
2014-01-01,184883.6549,Barking and Dagenham
2014-02-01,185428.4514,Barking and Dagenham
2014-03-01,189876.9104,Barking and Dagenham
2014-04-01,193076.6982,Barking and Dagenham
2014-05-01,196620.3956,Barking and Dagenham
2014-06-01,198039.7703,Barking and Dagenham
2014-07-01,201936.1166,Barking and Dagenham
2014-08-01,204974.0418,Barking and Dagenham
2014-09-01,210412.1357,Barking and Dagenham
2014-10-01,213902.7879,Barking and Dagenham
2014-11-01,216631.0863,Barking and Dagenham
2014-12-01,218284.7039,Barking and Dagenham
2015-01-01,220070.151,Barking and Dagenham
2015-02-01,222918.5506,Barking and Dagenham
2015-03-01,222416.942,Barking and Dagenham
2015-04-01,222176.3269,Barking and Dagenham
2015-05-01,221825.7372,Barking and Dagenham
2015-06-01,227557.9226,Barking and Dagenham
2015-07-01,235702.3941,Barking and Dagenham
